popularity,image,speechiness,rank,href,year,acousticness,danceability,preview,energy,tempo,instrumentalness,key,duration_ms,name,artist,liveness,explicit,mode,time_signature,loudness,valence
41,https://i.scdn.co/image/ad10654be44d43f071c4f2a6ed3e217882846ade,0.269,28,https://open.spotify.com/track/4dx3Lqdq4WvUWx23d04tOl,1965,0.849,0.364,,0.591,184.018,0,6,124066,What's New Pussycat?,Tom Jones,0.195,0,0,3,-8.251,0.59
44,https://i.scdn.co/image/197345b463d62651e84011bf30b4ddcfd3c0bb2d,0.0442,29,https://open.spotify.com/track/1x95pWB3KeK3evKa1VrW6e,1965,0.352,0.585,,0.414,116.483,0,2,216813,Eve Of Destruction,Barry McGuire,0.102,0,1,4,-13.494,0.773
49,https://i.scdn.co/image/ee4c11a3623e5b02cf80953cc18fcd0dfcb1f7d4,0.0334,30,https://open.spotify.com/track/0i7O5MtSTXvR4BEY7stpjF,1965,0.167,0.764,https://p.scdn.co/mp3-preview/2eeb435e820df5f97b585f5b1d64b96dc9ed2973?cid=b1f28da8553c44beb65edac3ed1abac7,0.516,115.255,0,7,231800,Hang On Sloopy,The McCoys,0.0723,0,1,4,-12.099,0.936
56,https://i.scdn.co/image/bbbd06069770d49731587d1f513bdf482c9420ab,0.0678,31,https://open.spotify.com/track/7CZiDzGVjUssMSOXrDNYHL,1965,0.0457,0.519,,0.85,123.419,0,9,189680,Ticket To Ride - Remastered,The Beatles,0.233,0,1,4,-6.777,0.749
29,https://i.scdn.co/image/ff690fa9e58d6aec89a4b47a0383a3d103519123,0.0319,32,https://open.spotify.com/track/4GXXOBUEpCr58TFHIkLrZ0,1965,0.872,0.613,,0.306,117.724,0.687,7,139653,Red Roses For A Blue Lady,Bert Kaempfert,0.142,0,1,4,-12.448,0.35
56,https://i.scdn.co/image/f1d56ecf420c67b42cca4699b8d42c623bfa4c34,0.0766,33,https://open.spotify.com/track/6v4gV9s0pnwKbmF1yk5knO,1965,0.493,0.746,,0.702,129.434,0.0398,4,125706,Papa's Got A Brand New Bag,James Brown,0.0964,0,1,4,-8.099,0.889
28,https://i.scdn.co/image/28b2f4ef1918ac1b0837329d94f9b210fcac440b,0.0328,34,https://open.spotify.com/track/0jUfBCWrfrZGueD8MjvgMo,1965,0.0946,0.575,,0.843,109.254,0,9,127093,The Game Of Love,Wayne Fontana & The Mindbenders,0.197,0,1,4,-4.298,0.953
32,https://i.scdn.co/image/663de74110922edefe80f6ce18685eff49deda7d,0.123,35,https://open.spotify.com/track/1wQjtqCtUqvaV6CjPKIGdc,1965,0.201,0.678,,0.811,163.761,3.99e-06,5,164866,The Name Game,Shirley Ellis,0.178,0,0,4,-7.419,0.928
32,https://i.scdn.co/image/67ac1102ac866ca52b829787785ae1d6de821710,0.0496,36,https://open.spotify.com/track/7dQP6ESUYUMYUAnGkdyjXi,1965,0.735,0.434,https://p.scdn.co/mp3-preview/b5ff1b3565d5be1ea7f4c96adbc3d058b5695072?cid=b1f28da8553c44beb65edac3ed1abac7,0.722,137.936,1.16e-05,4,162600,I Know a Place,Petula Clark,0.634,0,1,4,-9.637,0.614
42,https://i.scdn.co/image/5d8e5c27309f7f2c32c354fd6d6241285b870c95,0.0296,37,https://open.spotify.com/track/1cY6UYbPf4plUm3fpLZGWF,1965,0.156,0.719,,0.516,123.296,0.0199,5,176613,Back In My Arms Again - Mono Single Version,The Supremes,0.148,0,1,4,-9.005,0.549
